TurtleID,Age-class,Injured,Site,retentionTime (Fi),numberOfeventID,SSFI,SSFI group
TW01G0684,Juvenile,FALSE,Dafu,470,3,0.008452097,Low
TW01G0757,Subadult,FALSE,Lobster,471,3,0.008434398,Low
TW01G0310,Juvenile,FALSE,Dafu,486,3,0.008177482,Low
TW01G0435,Juvenile,FALSE,Dafu,487,3,0.008160906,Low
TW01G0527,Juvenile,TRUE,Lobster,487,3,0.008160906,Low
TW01G0392,Subadult,FALSE,Lobster,275,2,0.007199895,Low
TW01G0657,Juvenile,FALSE,Lobster,559,3,0.00712077,Low
TW01G0749,Juvenile,FALSE,Dafu,283,2,0.007000272,Low
TW01G0243,Juvenile,FALSE,Dafu,294,2,0.006743042,Low
TW01G0664,Juvenile,FALSE,Lobster,296,2,0.006698272,Low
TW01G0703,Subadult,FALSE,Dafu,366,2,0.005433451,Low
TW01G0706,Subadult,FALSE,Dafu,2,6,0.005223296,Low
TW01G0708,Adult,TRUE,Dafu,2,5,0.005221932,Low
TW01G0762,Juvenile,FALSE,Lobster,2,5,0.005221932,Low
TW01G0110,Adult,TRUE,Lobster,2,4,0.005219661,Low
TW01G0096,Juvenile,FALSE,Lobster,2,3,0.005215124,Low
TW01G0487,Subadult,FALSE,Lobster,2,3,0.005215124,Low
TW01G0633,Adult,FALSE,Dafu,2,3,0.005215124,Low
TW01G0754,Juvenile,FALSE,Dafu,2,3,0.005215124,Low
TW01G0763,Juvenile,FALSE,Lobster,2,3,0.005215124,Low
TW01G0776,Juvenile,FALSE,Lobster,2,3,0.005215124,Low
TW01G0794,Subadult,FALSE,Lobster,2,3,0.005215124,Low
TW01G0223,Juvenile,FALSE,Lobster,2,2,0.00520156,Low
TW01G0307,Adult,FALSE,Dafu,2,2,0.00520156,Low
TW01G0436,Juvenile,FALSE,Dafu,2,2,0.00520156,Low
TW01G0490,Subadult,FALSE,Lobster,2,2,0.00520156,Low
TW01G0676,Juvenile,FALSE,Dafu,2,2,0.00520156,Low
TW01G0721,Juvenile,FALSE,Dafu,2,2,0.00520156,Low
TW01G0745,Juvenile,FALSE,Dafu,2,2,0.00520156,Low
TW01G0799,Unknown,FALSE,Lobster,2,2,0.00520156,Low
TW01G0526,Juvenile,FALSE,Lobster,384,2,0.005181452,Low
TW01G0618,Juvenile,FALSE,Dafu,384,2,0.005181452,Low
TW01G0748,Juvenile,FALSE,Dafu,384,2,0.005181452,Low
TW01G0645,Subadult,FALSE,Lobster,385,2,0.005168132,Low
TW01G0609,Subadult,FALSE,Dafu,386,2,0.00515488,Low
TW01G0615,Subadult,FALSE,Dafu,560,2,0.003562738,Low
TW01G0622,Juvenile,FALSE,Dafu,661,2,0.00302043,Low
TW01G0137,Subadult,FALSE,Lobster,1,4,0.00261324,Low
TW01G0521,Juvenile,FALSE,Dafu,1,3,0.002612671,Low
TW01G0740,Subadult,FALSE,Dafu,1,3,0.002612671,Low
TW01G0262,Juvenile,FALSE,Dafu,1,2,0.002610966,Low
TW01G0299,Subadult,FALSE,Dafu,1,2,0.002610966,Low
TW01G0614,Juvenile,FALSE,Dafu,1,2,0.002610966,Low
TW01G0616,Adult,FALSE,Dafu,1,2,0.002610966,Low
TW01G0628,Adult,FALSE,Dafu,1,2,0.002610966,Low
TW01G0631,Juvenile,FALSE,Dafu,1,2,0.002610966,Low
TW01G0729,Subadult,FALSE,Dafu,1,2,0.002610966,Low
TW01G0730,Juvenile,FALSE,Dafu,1,2,0.002610966,Low
TW01G0742,Juvenile,FALSE,Dafu,1,2,0.002610966,Low
TW01G0746,Subadult,FALSE,Dafu,1,2,0.002610966,Low
TW01G0751,Juvenile,FALSE,Dafu,1,2,0.002610966,Low
TW01G0767,Juvenile,FALSE,Lobster,1,2,0.002610966,Low
TW01G0790,Subadult,FALSE,Lobster,1,2,0.002610966,Low
TW01G0796,Juvenile,FALSE,Lobster,1,2,0.002610966,Low
TW01G0010,Adult,FALSE,Lobster,0,1,0,Low
TW01G0018,Subadult,FALSE,Dafu,0,1,0,Low
TW01G0050,Adult,TRUE,Lobster,0,1,0,Low
TW01G0070,Adult,FALSE,Lobster,0,1,0,Low
TW01G0086,Adult,FALSE,Lobster,0,1,0,Low
TW01G0120,Adult,TRUE,Lobster,0,1,0,Low
TW01G0121,Adult,TRUE,Lobster,0,1,0,Low
TW01G0156,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0157,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0187,Adult,FALSE,Dafu,0,1,0,Low
TW01G0206,Adult,FALSE,Lobster,0,1,0,Low
TW01G0214,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0238,Adult,TRUE,Lobster,0,1,0,Low
TW01G0290,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0294,Subadult,TRUE,Dafu,0,1,0,Low
TW01G0296,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0327,Adult,FALSE,Lobster,0,1,0,Low
TW01G0363,Subadult,FALSE,Dafu,0,1,0,Low
TW01G0440,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0498,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0523,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0566,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0605,Juvenile,FALSE,Dafu,0,2,0,Low
TW01G0608,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0610,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0635,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0636,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0639,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0642,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0644,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0646,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0652,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0660,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0661,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0662,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0668,Juvenile,FALSE,Lobster,0,1,0,Low
